Cost,Menu,Reward,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25
29,25,-292.6829268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,42,-756.097561,0,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,3,2,3,3,0,0
26,23,-365.8536585,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,3,2,2,2,0,0
32,16,-219.5121951,0,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,2,0,0
29,29,-42.68292683,0,2,3,2,3,0,0,0,0,3,0,2,0,6,3,0,1,1,0,3,2,3,3,3,0
36,7,-45.02814259,0,2,1,1,3,0,0,0,0,3,0,6,0,2,3,3,5,6,0,3,2,3,3,3,0
24,25,-280.0187617,0,2,6,6,2,0,0,0,3,3,0,2,0,2,3,3,1,2,0,0,7,3,3,3,0
28,24,-105.5347092,0,1,3,2,2,0,0,0,3,7,0,2,0,2,3,0,0,1,0,3,2,3,3,3,0
32,16,30.48780488,0,3,3,1,0,0,0,0,0,2,3,2,0,0,0,0,3,2,0,3,1,3,3,3,0
26,29,-77.39212008,0,2,3,2,3,0,0,0,0,1,3,0,0,6,3,0,1,1,0,3,2,4,4,2,0
39,7,162.7579737,0,6,1,1,3,0,0,0,0,3,0,2,0,2,3,3,5,6,0,3,2,3,3,3,0
16,25,-436.6791745,0,2,2,6,2,0,0,0,3,3,0,2,0,2,3,3,1,2,0,4,7,3,3,3,0
25,23,-44.09005629,0,1,3,2,2,0,0,0,3,3,0,2,0,2,3,0,0,1,0,3,2,3,3,3,0
28,16,-124.7654784,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,2,2,4,0
23,26,-73.63977486,0,2,3,2,3,0,0,0,0,3,0,2,0,2,3,0,1,1,0,3,2,3,3,3,0
39,7,8.911819887,0,1,2,1,3,0,0,0,0,1,3,0,0,2,3,0,0,1,0,2,1,0,0,2,0
18,25,-407.1294559,0,1,3,6,2,0,0,0,3,1,3,0,0,2,3,0,0,1,0,3,6,0,0,2,0
39,24,181.988743,0,5,3,2,2,0,0,0,3,3,0,2,0,2,3,0,4,1,0,3,2,3,3,3,0
11,23,-616.3227017,0,3,3,1,0,0,0,0,0,2,3,2,0,4,0,0,3,2,0,3,1,3,3,3,0
44,16,477.0168856,0,0,4,2,0,0,0,0,0,2,3,2,0,0,0,0,0,2,0,0,2,3,3,3,0
13,27,-490.619137,0,2,3,2,3,0,0,0,0,3,0,2,0,2,3,4,1,1,0,3,2,3,3,3,0
23,29,-131.3320826,0,2,3,2,3,0,0,2,0,3,0,2,0,2,3,3,1,2,0,3,2,3,3,3,0
33,7,-118.1988743,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0
24,25,27.67354597,0,2,2,2,2,0,0,0,3,3,0,2,0,2,3,3,1,2,0,0,3,3,3,3,0
17,23,-431.5196998,0,5,3,2,2,0,0,0,3,3,0,2,0,2,3,0,4,1,0,3,2,3,3,3,0
32,24,-84.89681051,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,2,2,4,0
24,13,-68.48030019,0,0,0,2,0,0,0,0,0,2,3,2,0,0,0,0,0,2,0,0,2,3,3,3,0
72,26,909.9437148,0,1,0,3,2,0,0,0,3,1,3,0,0,2,3,3,1,2,0,0,3,0,0,0,0
0,16,-846.1538462,0,4,3,2,6,0,4,4,3,5,3,4,4,2,7,7,4,6,0,3,2,0,0,4,0
0,28,-961.5384615,0,1,2,1,3,0,4,4,0,5,3,4,0,2,3,4,0,1,0,2,1,0,0,2,0
